Etiquetas de fila,2024,2025
Ruedas,432.379,361.036
Contenedores de residuos,497.810,306.264
Puertas,398.795,264.708
Cajones,165.800,158.953
Extensión de línea,32.389,128.844
Enfardadoras Trituradoras,63.564,87.831
Sist Alamacenaje,1.157,67.664
Pallets,41.219,62.531
Servicio,36.506,61.023
Goma,60.672,56.743
Carros,60.212,53.104
Transpaletas,24.367,28.783
Transportadores,3.686,24.268
Enfardadoras Rep/Insumos,12.985,16.327
Alquileres,7.054,16.176
Limpieza,4.761,7.063
N/A,21.102,3.770
#N/A,-1.513,-2.377